OBJECTID17,VB_ID,FIRE_NAME,FIRE_YEAR,VEG,WFU,AGENCY,ICS_CODE,PCT_FS,FRAP,DOTHESE,COMMENT
957,2013CLOVER,CLOVER,2013,Hardwood/Shrub,no,CDF,SHU,0.0,y,no,
966,2013MCCABE,MCCABE,2013,Hardwood/Shrub,no,CDF,LNU,0.0,y,no,
1021,2015HIGHWAY,HIGHWAY,2015,Hardwood/Shrub,no,CDF,RRU,0.0,y,no,
908,2011CANYON,CANYON,2011,Hardwood/Shrub/Grass,no,CCO,KRN,0.0,y,no,
920,2011STAGE,STAGE,2011,Hardwood/Shrub/grass,no,CDF,TUU,0.0,y,no,
665,2006COTTONWOOD,COTTONWOOD,2006,PJ,no,BLM,KRN,3.4,y,no,
1041,2015ROUND,ROUND,2015,Shrub,no,USF,INF,40.1,y,<50%FS,
697,2006SAGE,SAGE,2006,Shrub,no,USF,MDF,59.6,y,done,
432,1999MUSTY,MUSTY,1999,Shrub,no,CDF,BTU,0.0,y,no,
462,2000HAPPY,HAPPY,2000,Shrub,no,NPS,DVP,0.0,y,no,
470,2000MORGAN,MORGAN,2000,Shrub,no,CDF,LNU,0.0,y,no,
471,2000NORTH_FORK,NORTH FORK,2000,Shrub,no,CDF,BEU,0.0,y,no,
558,2002WOLF,WOLF,2002,Shrub,no,CCO,VNC,98.6,y,no,
582,2003MOUNTAIN_CDF,MOUNTAIN,2003,Shrub,no,CDF,RRU,0.0,y,no,
585,2003OLD_GRANDPRIX_PADUA,"OLD, GRANDPRIX, PADUA",2003,Shrub,no,USF,BDF,64.5,y,no,
630,2004RUMSEY,RUMSEY,2004,Shrub,no,CDF,LNU,0.0,y,no,
668,2006ESPERANZA,ESPERANZA,2006,Shrub,no,CDF,RRU,14.0,y,no,
699,2006SAWTOOTH_CMPLX,SAWTOOTH COMPLEX,2006,Shrub,no,CDF,BDU,0.4,y,no,
734,2007POWER,POWER,2007,Shrub,no,CDF,SHU,0.0,y,no,
743,2007WITCH,WITCH,2007,Shrub,no,CDF,MVU,27.0,y,no,
934,2012LAKE,LAKE,2012,Shrub,no,USF,MDF,100.0,y,no,
935,2012LIKLEY,LIKLEY,2012,Shrub,no,BLM,CDD,0.0,y,no,
945,2012RUSH,RUSH,2012,Shrub,no,BLM,NOD,0.0,y,no,
963,2013GRAND,GRAND,2013,Shrub,no,CCO,KRN,64.5,y,no,
1018,2015CUESTA,CUESTA,2015,Shrub,no,CDF,SLU,21.0,y,no,
1022,2015JERUSALEM,JERUSALEM,2015,Shrub,no,CDF,SNU,0.0,y,no,
1031,2015PARKHILL,PARKHILL,2015,Shrub,no,CDF,SLU,0.0,y,no,
1039,2015ROCKY,ROCKY,2015,Shrub,no,CDF,SNU,0.0,y,no,
921,2011TAMARACK,TAMARACK,2011,Shrub/Forest,no,NPS,YNP,0.0,y,done,change veg; montane chaparral burned high
1048,2015VALLEY,VALLEY,2015,Shrub/Forest,no,CDF,SNU,0.0,y,no,
678,2006JUNCTION,JUNCTION,2006,Shrub/grass,no,CDF,SHU,10.4,y,no,
705,2006WHISPERING_PINES,WHISPERING PINES,2006,Shrub/grass,no,CDF,BDU,0.0,y,no,
728,2007LOS_FLORES,LOS FLORES,2007,Shrub/grass,no,CDF,BDU,0.0,y,no,
785,2008HUMBOLDT,HUMBOLDT,2008,Shrub/grass,no,CDF,BTU,0.0,y,no,
903,2011BAKER,BAKER,2011,Shrub/grass,no,CCO,KRN,0.0,y,no,
905,2011BLACK,BLACK,2011,Shrub/grass,no,CCO,KRN,0.0,y,no,
956,2013CHARIOT,CHARIOT,2013,Shrub/grass,no,CDF,MVU,36.1,y,no,
960,2013DELUZ,DELUZ,2013,Shrub/grass,no,DOD,MCP,0.0,y,no,
1046,2015TASSAJARA,TASSAJARA,2015,Shrub/Hardwood,no,CDF,BEU,0.0,y,no,
1052,2015WRAGG,WRAGG,2015,Shrub/Hardwood,no,CDF,SNU,0.0,y,no,
